biker_id,tour_id
DI62811674,VR2003251 QV45469702 SW64379733 QS0493588 RY34589137 SQ99229320
DI82784583,SS07793700 RP44667813 SP70286690 QW12704788 TP45413981 SU24326927
DI87899389,YU5398943 QV00413013 RU29072432 QW53679456 XV1118590 RS55400133
DJ11822363,RW76357538 TR60484947 QQ6503895 SR42928083 QS83850843 SP27352986
DJ37992703,YQ5403718 QY14791953 RX03195749 QP36961928 QY6335814 TQ40154751
DJ43899827,VS5799819 RX22548338 RW57355954 QY73916091 VQ6825218 UT6889678
DJ70062925,SR56009463 QR41270051 YQ4641836 RT48320909 RV42068464
EA22287072,RT29693803 RV50542682 QP68825763 RP29179615 QS32759137 SY03656386
EA30525076,RR32765899 YT1395439 QS16988613 QU57343462 QS70289455 RU67184413
EA40113414,XR1546192 QQ62270076 UU3678266 QW41634425 RT15873572 TQ98698180
EA60379526,QX10747729 QT66528489 SX79292193 SS27788367 SX28664529 VW2757840
EA78937413,QV82999037 QS42847040 VY5330828 SP40691375 SS17052947 VW648066
EA91804141,QR72700922 RX14929505 QX11021363 QT16418718 ST67552102 SU26046417
EB04928393,QT01946527 QY58166234 SQ50441220 RP02132690 SX74059726 QU21370885
EB65509784,RQ53037761 QR17440720 TR42816413 QV13671569 RX24024899 SR89683998
EC44826201,QP76364848 QR69035551 SX49306291 QQ98319209 QU48058369 RU49322104
EC69957924,QQ79651886 RW21339456 SP76674861 QP85255811 SV97332645 QU84032720
EC89419892,RQ15491671 RW46202243 RR35916835 TT0098296 SX64843980 RT65528861
CD170479,XV1118590 YU5398943 QV00413013 RP99424186 SW35036412 RU29072432 QU32377761 QW53679456 TQ82729306 QS90707377 QP63306856 RW76357538 RW53736442 SY85899647 RQ42755647 RW82403445 RT05536413 QY96503357 XQ3650546 SV32072502 QP44854627
JF170590,UU3400622 QV00413013 TV0925649 QY71885970 SW51042480 QY36167908 QV90420493 RU29072432 YU5398943 QS90707377 QU32377761 QX27572703 RW05765590 RV55831834 QW60953513 WS460149 ST16874251 QP44854627
BC0053518,ST04987729 XV1118590 YU5398943 RS69873901 QQ55472355 RU29072432 QV00413013 SQ18974631 SR19059524 RR82291531
BE7852768,WT7845900 QU88010656 SV43346333 QS36550405 RX65762984 VR2003251 WV6157199 QX42491212 QQ28274822 SW73489407 SQ99229320 SR89683998
CA3050907,XV1118590 RX60418664 QV10171038 QV99663431 RU29072432 RW63790767 QW97828094 WP5007381 XT4299203 SS15486330 YU5398943 TQ00712234 QU17488130
CC1442949,RV4366149 RU29072432 YU5398943 QV00413013 QU32377761 QS90707377 TQ14638129 YX6099040 QP33318499 TR6902061 RR52007144 QP44854627 SV06182932
CG1990895,RX15171271 SS20505228 SU42075399 QS06613841 QV30022509 RX9404082 SQ11155015 QR5067550 WT5914541 RR70458671 TQ01549335 QR67316763 RP38842201
CG5682801,WU1749751 TR38847438 TP02891827 RQ02453106 TR3286334 VT5128809 SV72109301 RT15873572 QX53948415 QS10511988 RU65498979 SV34298859
CH2886293,SV55295959 SY26022702 QV00413013 YU5398943 RR37504401 RU29072432 SR64448398 QU32377761 QS90707377 QV11840162 QS61741648 QT28612515 XY9419077 SV32072502 QY9858305
CH5264384,WU7619631 QX1219102 QS41191313 QS06257783 SY15796357 SR16974136 TP14695040 RR45352316 ST00642235 YW3265170 WV2391043 RT01458775
DA6422496,WW1676713 QS61307272 VP2394192 RU29072432 YU5398943 QV00413013 XV8932064 QX62794029 SS72111380 QY21897790 SR1141387
DD6493147,RY81182600 RR1202458 SS88135408 QQ73255704 SQ67757146 QP0652122 ST54377311 SX56450292 RR81874957 QP71371108
DF8368837,QV99663431 SX35917768 QQ14350408 RX59670510 SP53102253 ST18415418 QW69487166 QV93226702 RU71460566 RS79850649 QQ10231970 ST75854859 QT01905636 RS79850649 QR80269047 QR80269047
EB9456233,YV5900163 TQ98728308 WT1936389 RY89906553 SY30077968 SX09972731 SS65728297 SS76874101 RR98558334 RT88820817 SP96327312 SX07386691 TP25975316 RR98558334
GF3909548,QV02727924 ST44116390 QX01766962 YS1943556 SR70799775 RW97207968 SR21494425 SP18072372 RY5859751 RS54737755 SP68673644 UW8836029 RR86788106 SX31365201
HA0438783,YU2519340 QP76364848 SW76957253 SQ03100779 QR03717384 SX49306291 RQ49464820 VW3098017 RV8233790 QR69035551 RP07279414
HC4978354,TQ45684767 RR49176184 SW71702746 RW95929444 WW0278298 QR41270051 QR11708085 ST80624055 RP46473726 RS57122965 RT15873572 TP7061424 VV7121041 ST16395266 QW84460112 ST16395266 QX65069375 QX65069375 SP46869585
HD8324703,ST564349 QV2332756 SP84875554 VV7664881 SX55652876 QW10669663 SX825896 RS88719133 SV77852886 VW7713566
IC6927178,RU29072432 QV00413013 QS71024414 QQ10543265 YU5398943 RR1202458 SV48914854 QV89486051 RS73204206 QU17488130
IE0865386,SR59486668 SW8308819 RY98372996 QY73916091 SU31332626 SQ26631984 VR3791878 QR97375856 ST08530820 VQ6825218 UT6889678
JA5852095,QV00413013 SY26022702 YU5398943 WQ9337372 RU29072432 WQ4391510 QS90707377 QU32377761 SX73822688 RY08519477
BA17536864,SQ50441220 ST99428374 QV99663431 RX05037878 XY8889852 RW31716338 QS7663137 WU1599722 QY9858305 SS58064160 QQ59994451 SU98138867
BA18886228,VP2394192 YU5398943 RU29072432 QV00413013 QU43005236 RU20169151 RV10494844 QX62794029 QT1747067 VQ3851355
BA30441254,RW43813328 SX74363313 SS19071521 QQ17746020 WR7714452 RS77296815 US0021453 RV70146105 SV98731704 QP4607440 RP20205490 SW92116629 QS01997573 QR98449638 VT442250 RQ08986641
BA44598291,YU2519340 QP76364848 QX16813281 SX49306291 QR03717384 SQ03100779 QQ51525474 RQ49464820 QR69035551 RP07279414
BA67164735,SR13813029 QY53210268 SW87631270 TR60285407 SV57419629 WP6941746 WR461116 QQ06466179 SY34988771 QR03120960 SX65317184 SW07599484 YV4417452 QY44950450 TT9812514 SP96404071 QS44083815 QR57844994 ST39956212 SV49047558 QP98863093 QW01861494 SS44118120 QY86487861 QX2153266 SW08910341 QV65286634 RT36500227 QP94725860 WS512801 QU36015047 QW28535880 RP89631359 TP85649365 RY34042058 YV4696705 SV11536448 RS84254802 RP0354622 RY80561647 QW22968298 RV57070627 SQ52673869 ST57347530 VQ2529118 RS7764772 TQ11934872 UV0848526 QQ05514937
BA75126714,XV6512763 TP4584045 VS3572331 RP0586552 QS43107637 SY86920873 QS33188058 QY75638328 ST41655380 VQ2644906 TP13025273 RP91251917 RX33450000 QV47929068 QT56576726 TY0590226 RT47396369 QV69604733 RY97290586 US0014408 SU42590909 SX66658418 UX4811498 SW22448563 US9541742 QQ54950496 RS30544471
BB50230846,SR16854901 SV3096366 QR94755971 RX95178379 QV45204489 SY51957899 VP3768826 SY14593969 RW40996837
BD15208123,YU5398943 RU29072432 QU32377761 QS90707377 SW35101795 UR2741694 SX75231517 SU65166403 QT45028465 SS14895954 SY38809089 YX6099040
BD36647234,YU5398943 WY7638314 RV43833505 TQ56683850 RX2265232 RQ30616732 RV91609942 QV41873670 QY27168893 QU70314869 QW73230862 QQ84964740 QY35315082 QV36407015 VY2075109
BD45896548,RU29072432 YU5398943 RV43833505 YP7302600 UV2877160 VS3659090 RQ30616732 RQ80806657 RU57897657 VT5128809 QW44785223 SU05218480 RY86124911 RV21503414 ST95437070 RV58555390
BD50285710,SP66321838 QP41499194 SV39467255 UR4691289 QU95241082 QX24709964 TR67881656 RQ45223158 QV60874393
BF48216840,UT4654350 TP8698482 UV286280 QY05807810 SU96095472 WT6090405 SV83968161 VQ8917454 SQ8862099 SQ92554396 QY97487607 RU95699357 TR31267316 QP5718448 SQ29504825 QV65415662 RS88010027 QY341280 RT02098473 RS28211583 RW8489979 RQ06690920 QT59514053 RT25935882 QW40159503
BF53019839,RU29072432 RW70527444 RV15984474 YU5398943 UR6418317 TR05554879 RT55219297 QS90707377 RP96635407 UR246840 SY34491209 SV32072502 YP2869993 SU65166403
BF67057770,YQ5403718 YX978060 ST77891691 TP82601014 QT48086840 QW76393554 XP2067141 RS72725650 RS07150378 XT3570927 QQ33385189
BF77437083,YU5398943 QV00413013 RQ45977549 SV21854275 RX41724568 TQ94316975 QV93226702 SY04821261 SR76213471 RV33697384 QY26323783 SQ83605169 RV3253434
BF97392855,QV00524252 QQ34365310 UQ684856 SR03768458 SY43014604 SY52569238 WQ6262797 RQ78514388 QP29448353 RT71590822 WP4367100
BG12038297,SX55990127 SX55990127 RQ88977150 RS61063319 SU05444496 SU18831374 TY0005260 SU6211013 YT0376988 QP03847016 RR91564875 SX42575553 QT40583414 VX7654571 VX7654571 RU12730591 RU12730591 RW40924995 RW40924995 SR04081953 SR04081953
BG96361679,QR05670273 WQ9337372 UX2672945 RV26540872 TR52287704 SY29507420 YW4347338 UV3395736 RW28427768 QY07550340 TY6131340
BI82344631,VR7290679 RX59386475 QU65011423 TS5185357 SQ74718152 RT60315917 SW11746032 ST4812468 VV357203 SY81222120 SS18084807 SQ65830762
BJ35452377,QS33874666 RX22548338 QU4173769 SQ26631984 UW8876481 QR97375856 QX41503354 SR66414126 RV5740872 QR60659849 QR82082433 RT91721612 VQ6825218 VS5799819 RR85108120 QY73916091
BJ67689783,RX60014925 SS30051251 QQ34231092 TQ70145082 QV66413374 XV1455380 TR49979866 RW79174239 SV29495507 RV53321720 RR74349979 WS1289734
CA54648409,TR2024082 YU5398943 XY6485186 TQ77339177 TQ03800848 RR37045476 QP78399009 RV4093631 VT2644408 SQ90231827 RT38434714 SR76213471 QT01905636
CB29690960,YU5398943 QU22480247 TP79660037 TQ4601582 RW59111805 SY29337192 XY7667289 SS54845431 RS18827942 RR85963249 SP66409179 QY83140495 WP3370904 XY2230242 RP97501529 RX06565970 QX11608751
CB93628344,YU5398943 VP2394192 RU29072432 SV56771393 SR76213471 QU56475107 QY21897790 WQ1611185 RV62935109 QR59109743 TV5657177 SR49252679 RR02694777
CC05166542,VU357600 QP06903887 SX01659300 RV31498914 QY75008770 VW648066 RR3675975 WU9623017 RS25712717 QY89853635 QR32434552 WU0506418 UR2490248
CC09002289,QV04324184 RT53241445 RP20022404 SP2720508 SY46862286 SY2166594 QX33196462 QQ88805929 SS15662669 TX3236510 RV25684328 SX9805714 QU24561927 QV78019857 TQ330505
CC23946882,YV890078 RU03553114 QR82190480 QP2460414 SX31661369 UX1543591 XS2412932 YV6176695 QR81294006 QT97445719 QY63129990 QX86219882 SU88114419 RX4003894 RT30405430 RU97005766 QV62539682 RP2394818 RX37083684 QP49842818 RW98408743 QQ14147164 SU77726402 TR15766191 RQ70473823 TQ18369012 RX77332363 TQ63116429
CC54327912,QP70630186 RY78944992 QS26604587 RQ42921098 SP16174135 RW05882453 SU36688266 RS92374410 RR6825255 SY00421971 QR69960949 TR56469902 YR0600431 SP29154892 SV48232990 RQ51031983 SR15487391 QY19672247 VX4266372 VP5781708 SV74503714 SW52550750 RU48227077 SY43631332 QY27488321 TP32794844
CC64585544,XR1546192 RQ86054523 RT56139530 QS59710437 QV95480317 UX7628640 WU3115138 SY68395368 QS32759137 QY14791953 QS32759137 QY14791953 RV10561518 RS79850649 YR9607923 SP57340966 RS79850649 QQ33385189 SV17750746 QQ33385189 VQ5488222 XY3326926
CF43824082,RT53174300 QW19075410 VW9023125 TQ6330287 QW52607782 RV91215697 QW52177173 RS90991047 VT2644408
CF57219570,TQ1688154 SU04982125 QQ24353248 US675398 QS28882359 VT37434 SU73523098 SW83327786 QX13646982
CG33145288,YU2519340 QP76364848 QX16813281 RQ49464820 QR03717384 WX2683695 VW3098017 RV8233790 QR69035551 RP07279414
CG38473114,RR59216780 TY1161414 WU0079596 SS84511898 SQ91068419 WV0705045 QY86891478 QR75822727 QP78399009 RP0825836 WP2032205 YY8267429 SS47784034 QQ37010796 SS98247231 XP1248966
CG43058163,RQ81644863 QU57343462 QY98964568 RW90657295 SV00053010 TR53737282 QT01069734 RR32765899 RU67184413 RP07279414
CH87637778,YQ0169576 QP76364848 YU2519340 QT51401793 TR44463632 SQ03100779 TP80944038 QR69035551 QR03717384 RQ49464820 RP07279414
CH91418962,TR23848259 RQ53037761 SY61489941 VR2003251 YP7836813 SR5043475 QX11629670 SS27844721 SS78482079 QR5067550 SW97841998 SW73489407 QS0493588 XW962584 SQ99229320
CI37984655,SS35153331 SS35153331 TT040604 RW32029489 QX64837767 QR36456605 RX14849271 XX0504585 SP03210851 QR5703643 WY3677521 WY3677521 RX87039266 SS15756640 QQ12738637 SX9811473 TQ03636596 SX50944985 RW16492883 RW68548410 RW16492883 SS59203400 TR7268030 RW87953346 SS59203400 SS59203400
CI55659739,YU5398943 RU29072432 QV11840162 QU99219405 QU32377761 QS90707377 QW36093461 SU51855555 SY53952340 SU65166403 SV32072502 SS14895954
